SortingName,DataType,ArraySize,Time
MergeSort,Int,10,0.000000
QuickSTD,Int,10,0.000000
MergeSort,Long,10,0.000000
QuickSTD,Long,10,0.000000
Float: MISMATCH: 0 -1064712192
MergeSort,Float,10,0.000000
QuickSTD,Float,10,0.000000
Double: MISMATCH: -1425582577 -1061147261
MergeSort,Double,10,0.000000
QuickSTD,Double,10,0.000000
LongDouble: MISMATCH: -1910301626 -1064466671
MergeSort,LongDouble,10,0.000000
QuickSTD,LongDouble,10,0.000000
MergeSort,Int,100,0.000000
QuickSTD,Int,100,0.000000
MergeSort,Long,100,1.000000
QuickSTD,Long,100,0.000000
Float: MISMATCH: 0 -1065218048
MergeSort,Float,100,0.000000
QuickSTD,Float,100,0.000000
Double: MISMATCH: -163845000 -1060928739
MergeSort,Double,100,0.000000
QuickSTD,Double,100,0.000000
LongDouble: MISMATCH: 1296603793 -1064376668
MergeSort,LongDouble,100,0.000000
QuickSTD,LongDouble,100,0.000000
MergeSort,Int,1000,1.000000
QuickSTD,Int,1000,0.000000
MergeSort,Long,1000,0.000000
QuickSTD,Long,1000,0.000000
Float: MISMATCH: 0 -1064777728
MergeSort,Float,1000,0.000000
QuickSTD,Float,1000,0.000000
Double: MISMATCH: -1723256174 -1060928348
MergeSort,Double,1000,0.000000
QuickSTD,Double,1000,2.000000
LongDouble: MISMATCH: -1212453001 -1064363043
MergeSort,LongDouble,1000,0.000000
QuickSTD,LongDouble,1000,2.000000
MergeSort,Int,10000,3.000000
QuickSTD,Int,10000,3.000000
MergeSort,Long,10000,6.000000
QuickSTD,Long,10000,5.000000
Float: MISMATCH: -2147483648 -1064404294
MergeSort,Float,10000,8.000000
QuickSTD,Float,10000,4.000000
Double: MISMATCH: 2106522398 -1060927801
MergeSort,Double,10000,12.000000
QuickSTD,Double,10000,3.000000
LongDouble: MISMATCH: 0 -1064353792
MergeSort,LongDouble,10000,19.000000
QuickSTD,LongDouble,10000,3.000000
MergeSort,Int,100000,48.000000
QuickSTD,Int,100000,27.000000
MergeSort,Long,100000,62.000000
QuickSTD,Long,100000,37.000000
Float: MISMATCH: 1610612736 -1064375543
MergeSort,Float,100000,65.000000
QuickSTD,Float,100000,37.000000
Double: MISMATCH: -547111225 -1060927567
MergeSort,Double,100000,69.000000
QuickSTD,Double,100000,47.000000
LongDouble: MISMATCH: 0 -1064353792
MergeSort,LongDouble,100000,59.000000
QuickSTD,LongDouble,100000,55.000000
MergeSort,Int,1000000,467.000000
QuickSTD,Int,1000000,243.000000
MergeSort,Long,1000000,449.000000
QuickSTD,Long,1000000,337.000000
Float: MISMATCH: -2147483648 -1064370418
MergeSort,Float,1000000,502.000000
QuickSTD,Float,1000000,352.000000
Double: MISMATCH: 0 -1060927488
MergeSort,Double,1000000,651.000000
QuickSTD,Double,1000000,407.000000
LongDouble: MISMATCH: 0 -1064353792
MergeSort,LongDouble,1000000,671.000000
QuickSTD,LongDouble,1000000,472.000000
MergeSort,Int,3000000,1726.000000
QuickSTD,Int,3000000,725.000000
MergeSort,Long,3000000,1765.000000
QuickSTD,Long,3000000,998.000000
Float: MISMATCH: -1073741824 -1064363668
MergeSort,Float,3000000,1822.000000
QuickSTD,Float,3000000,1086.000000
Double: MISMATCH: 0 -1060927488
MergeSort,Double,3000000,2530.000000
QuickSTD,Double,3000000,1337.000000
LongDouble: MISMATCH: 0 -1064353792
MergeSort,LongDouble,3000000,2672.000000
QuickSTD,LongDouble,3000000,1364.000000
MergeSort,Int,7000000,3742.000000
QuickSTD,Int,7000000,2293.000000
MergeSort,Long,7000000,3758.000000
QuickSTD,Long,7000000,2399.000000
Float: MISMATCH: -536870912 -1064358293
MergeSort,Float,7000000,3874.000000
QuickSTD,Float,7000000,2731.000000
Double: MISMATCH: 0 -1060927488
MergeSort,Double,7000000,5340.000000
QuickSTD,Double,7000000,3068.000000
LongDouble: MISMATCH: 0 -1064353792
MergeSort,LongDouble,7000000,6693.000000
QuickSTD,LongDouble,7000000,3127.000000
MergeSort,Int,10000000,6147.000000
QuickSTD,Int,10000000,2595.000000
MergeSort,Long,10000000,6332.000000
QuickSTD,Long,10000000,3344.000000
Float: MISMATCH: -536870912 -1064357543
MergeSort,Float,10000000,7663.000000
QuickSTD,Float,10000000,3797.000000
Double: MISMATCH: 0 -1060927488
MergeSort,Double,10000000,11802.000000
QuickSTD,Double,10000000,5324.000000
LongDouble: MISMATCH: 0 -1064353792
MergeSort,LongDouble,10000000,12545.000000
QuickSTD,LongDouble,10000000,5795.000000
MergeSort,Int,0,0.000000
QuickSTD,Int,0,0.000000
MergeSort,Long,0,0.000000
QuickSTD,Long,0,0.000000
MergeSort,Float,0,0.000000
QuickSTD,Float,0,0.000000
MergeSort,Double,0,0.000000
QuickSTD,Double,0,0.000000
MergeSort,LongDouble,0,0.000000
QuickSTD,LongDouble,0,0.000000
