SortingName,DataType,ArraySize,Time
MergeSort,Int,10,0.000000
QuickSTD,Int,10,0.000000
MergeSort,Long,10,0.000000
QuickSTD,Long,10,0.000000
MergeSort,Float,10,0.000000
QuickSTD,Float,10,0.000000
MergeSort,Double,10,0.000000
QuickSTD,Double,10,0.000000
MergeSort,LongDouble,10,0.000000
QuickSTD,LongDouble,10,0.000000
MergeSort,Int,100,1.000000
QuickSTD,Int,100,0.000000
MergeSort,Long,100,0.000000
QuickSTD,Long,100,0.000000
MergeSort,Float,100,0.000000
QuickSTD,Float,100,0.000000
MergeSort,Double,100,0.000000
QuickSTD,Double,100,0.000000
MergeSort,LongDouble,100,0.000000
QuickSTD,LongDouble,100,0.000000
MergeSort,Int,1000,1.000000
QuickSTD,Int,1000,0.000000
MergeSort,Long,1000,1.000000
QuickSTD,Long,1000,0.000000
MergeSort,Float,1000,0.000000
QuickSTD,Float,1000,0.000000
MergeSort,Double,1000,0.000000
QuickSTD,Double,1000,0.000000
MergeSort,LongDouble,1000,1.000000
QuickSTD,LongDouble,1000,0.000000
MergeSort,Int,10000,4.000000
QuickSTD,Int,10000,3.000000
MergeSort,Long,10000,11.000000
QuickSTD,Long,10000,4.000000
MergeSort,Float,10000,8.000000
QuickSTD,Float,10000,4.000000
MergeSort,Double,10000,17.000000
QuickSTD,Double,10000,4.000000
MergeSort,LongDouble,10000,30.000000
QuickSTD,LongDouble,10000,6.000000
MergeSort,Int,100000,47.000000
QuickSTD,Int,100000,40.000000
MergeSort,Long,100000,86.000000
QuickSTD,Long,100000,36.000000
MergeSort,Float,100000,93.000000
QuickSTD,Float,100000,41.000000
MergeSort,Double,100000,64.000000
QuickSTD,Double,100000,65.000000
MergeSort,LongDouble,100000,71.000000
QuickSTD,LongDouble,100000,50.000000
MergeSort,Int,1000000,421.000000
QuickSTD,Int,1000000,243.000000
MergeSort,Long,1000000,470.000000
QuickSTD,Long,1000000,339.000000
MergeSort,Float,1000000,489.000000
QuickSTD,Float,1000000,372.000000
MergeSort,Double,1000000,590.000000
QuickSTD,Double,1000000,519.000000
MergeSort,LongDouble,1000000,597.000000
QuickSTD,LongDouble,1000000,542.000000
MergeSort,Int,3000000,1559.000000
QuickSTD,Int,3000000,773.000000
MergeSort,Long,3000000,4323.000000
QuickSTD,Long,3000000,984.000000
MergeSort,Float,3000000,5239.000000
QuickSTD,Float,3000000,3503.000000
MergeSort,Double,3000000,6531.000000
QuickSTD,Double,3000000,4787.000000
MergeSort,LongDouble,3000000,6476.000000
QuickSTD,LongDouble,3000000,4709.000000
MergeSort,Int,7000000,10744.000000
QuickSTD,Int,7000000,5466.000000
MergeSort,Long,7000000,11199.000000
QuickSTD,Long,7000000,7862.000000
MergeSort,Float,7000000,11307.000000
QuickSTD,Float,7000000,7874.000000
MergeSort,Double,7000000,10102.000000
QuickSTD,Double,7000000,11428.000000
MergeSort,LongDouble,7000000,4309.000000
QuickSTD,LongDouble,7000000,3454.000000
MergeSort,Int,10000000,5332.000000
QuickSTD,Int,10000000,2551.000000
MergeSort,Long,10000000,10956.000000
QuickSTD,Long,10000000,8658.000000
MergeSort,Float,10000000,5526.000000
QuickSTD,Float,10000000,3458.000000
MergeSort,Double,10000000,7324.000000
QuickSTD,Double,10000000,5028.000000
MergeSort,LongDouble,10000000,7286.000000
QuickSTD,LongDouble,10000000,5135.000000
MergeSort,Int,0,0.000000
QuickSTD,Int,0,0.000000
MergeSort,Long,0,0.000000
QuickSTD,Long,0,0.000000
MergeSort,Float,0,0.000000
QuickSTD,Float,0,0.000000
MergeSort,Double,0,0.000000
QuickSTD,Double,0,0.000000
MergeSort,LongDouble,0,0.000000
QuickSTD,LongDouble,0,0.000000
